status,source,destination_or_error
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\_URL_MAP.csv,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\_URL_MAP.csv
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\_URL_MAP.json,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\_URL_MAP.json
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\download_thaohoiam_assets.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\download_thaohoiam_assets.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\requirements_thaohoiam_assets.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\requirements_thaohoiam_assets.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\_download_state.json,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\_download_state.json
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\_download_log.csv,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\_download_log.csv
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\rename_srt_to_vi.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\rename_srt_to_vi.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\run_rename_srt_to_vi.bat,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\run_rename_srt_to_vi.bat
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\delete_srt_vtt_txt.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\delete_srt_vtt_txt.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\rename_jw_to_vi.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\rename_jw_to_vi.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\rename_jw_to_vi.bat,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\rename_jw_to_vi.bat
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\delete_srt_vtt_txt.bat,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\delete_srt_vtt_txt.bat
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\copy_non_audio_files.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\copy_non_audio_files.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\copy_non_audio_from_current_folder.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\copy_non_audio_from_current_folder.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\copy_non_audio_files_fixed.py,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\copy_non_audio_files_fixed.py
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\dry_run_copy_non_audio_log_20260430_185359.csv,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\dry_run_copy_non_audio_log_20260430_185359.csv
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\desktop.ini,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\desktop.ini
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\HUONG DAN TU HOC TU XA\desktop.ini,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\HUONG DAN TU HOC TU XA\desktop.ini
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\KINH DAI THUA\URL.txt,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\KINH DAI THUA\URL.txt
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\KINH DAI THUA\desktop.ini,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\KINH DAI THUA\desktop.ini
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\SINH HOAT THAO HOI AM\desktop.ini,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\SINH HOAT THAO HOI AM\desktop.ini
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Ngón Tay Chỉ Trăng 11\NGON-TAY-CHI-TRANG-11.pdf,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Ngón Tay Chỉ Trăng 11\NGON-TAY-CHI-TRANG-11.pdf
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Ngón Tay Chỉ Trăng 11\NGON-TAY-CHI-TRANG-11.doc,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Ngón Tay Chỉ Trăng 11\NGON-TAY-CHI-TRANG-11.doc
COPIED,G:\My Drive\GhiAm2_Done\THICH_TU_THONG\Ngón Tay Chỉ Trăng 11\desktop.ini,E:\DrugDev\NCT-App\GitHub_Repo\THICH_TU_THONG_ARCHIVES\Ngón Tay Chỉ Trăng 11\desktop.ini
